file,potential,t_min,model,A,beta,C,M,r2,n_points
Ca13,0.4,0.8,simple,1.4262336697913654e-06,0.7022601213215124,2.6248774234715267e-07,,0.9954606608417753,2385
Ca13,0.4,0.8,linear,1.4870790205521884e-06,0.5855781536090597,1.5944909132743356e-07,6.8108682077892e-10,0.9998194188236842,2385
Ca13,0.4,0.9,simple,1.4371361395320467e-06,0.7090917282039357,2.6410458134162574e-07,,0.995320467988666,2383
Ca13,0.4,0.9,linear,1.4868222234845741e-06,0.584936425381201,1.5897980432582037e-07,6.830500985198208e-10,0.9998059034414227,2383
Ca13,0.4,1.0,simple,1.4484658054912132e-06,0.7157600162113494,2.6561297638111247e-07,,0.9951961888106535,2381
Ca13,0.4,1.0,linear,1.4866272207793554e-06,0.5845154416978332,1.586769929885797e-07,6.842980273083129e-10,0.9997924557928366,2381
Ca13,0.4,2.0,simple,1.5747881111152512e-06,0.774673255080897,2.766533626495035e-07,,0.9942534734496086,2361
Ca13,0.4,2.0,linear,1.4848641448416557e-06,0.5822140051194894,1.5715541132324348e-07,6.901266343787366e-10,0.999659545326932,2361
Ca13,0.4,3.0,simple,1.7345801433117345e-06,0.8298796606284199,2.8431688918542693e-07,,0.9938696270411713,2341
Ca13,0.4,3.0,linear,1.4964410265598908e-06,0.5922576967809983,1.6302336396405352e-07,6.695345169619347e-10,0.99953484902961,2341
Ca13,0.4,4.0,simple,1.9255065244392107e-06,0.8830943745635687,2.9018511153256596e-07,,0.993668804127719,2321
Ca13,0.4,4.0,linear,1.5174267164629234e-06,0.6068730117454187,1.706690949961708e-07,6.436801913592164e-10,0.9994157636800483,2321
Ca13,0.4,5.0,simple,2.1494976474043083e-06,0.9346978354160842,2.9482548059534406e-07,,0.99356104532269,2301
Ca13,0.4,5.0,linear,1.5475083744507692e-06,0.6246148011556922,1.7900234023087441e-07,6.159962737709947e-10,0.9992980881688598,2301
Ca14,0.4,0.1,simple,1.1718715033636543e-06,0.6844710132061768,2.7998895333165985e-07,,0.9969627056938913,2399
Ca14,0.4,0.1,linear,1.2404971445426208e-06,0.654935370704887,2.387065145567227e-07,3.953191259118887e-10,0.9982787439635824,2399
Ca14,0.4,0.2,simple,1.1680391056475158e-06,0.6720199160794743,2.762886817707111e-07,,0.9964779451622916,2397
Ca14,0.4,0.2,linear,1.2652663772855396e-06,0.6136928571357432,2.0864257319335767e-07,5.649300709050662e-10,0.9997432238616346,2397
Ca14,0.4,0.3,simple,1.1755974917602389e-06,0.6871651473832747,2.805242522458276e-07,,0.9963123581314759,2395
Ca14,0.4,0.3,linear,1.2636584985685665e-06,0.6183714238683894,2.1197143166205544e-07,5.475990084650777e-10,0.9997073553593739,2395
Ca14,0.4,0.4,simple,1.184459760331311e-06,0.6992013687297337,2.8351910158505535e-07,,0.9961514185837786,2393
Ca14,0.4,0.4,linear,1.263377555175911e-06,0.6214308760195992,2.1396158205787828e-07,5.376166748666847e-10,0.9996687629241431,2393
Ca14,0.4,0.5,simple,1.1945811206249094e-06,0.7103592851505364,2.860590049578337e-07,,0.9960688386564858,2391
Ca14,0.4,0.5,linear,1.2635654347248548e-06,0.625108372097141,2.1622520658970712e-07,5.264914406018059e-10,0.9996403746978504,2391
Ca14,0.4,0.6,simple,1.205237506758896e-06,0.7204953393803134,2.881956487235161e-07,,0.996004433989831,2389
Ca14,0.4,0.6,linear,1.2642013043231483e-06,0.6285438918305819,2.1822950006862182e-07,5.168301200706305e-10,0.9996138243899815,2389
Ca14,0.4,0.7,simple,1.216041721520217e-06,0.7296879260192748,2.9000849424436443e-07,,0.995937167438339,2387
Ca14,0.4,0.7,linear,1.2650633986599195e-06,0.6314634709404757,2.198574400686573e-07,5.091096994861916e-10,0.9995857450234222,2387
Ca14,0.4,0.8,simple,1.2270587038438755e-06,0.7382595424416588,2.9160183589615295e-07,,0.9958751985694121,2385
Ca14,0.4,0.8,linear,1.2661141984334595e-06,0.6341635133440228,2.213051778725892e-07,5.023413492491799e-10,0.999557928039564,2385
Ca14,0.4,0.9,simple,1.238305016581481e-06,0.7463789001514342,2.9303232127694025e-07,,0.9958204117245318,2383
Ca14,0.4,0.9,linear,1.2673420627107685e-06,0.6367676297273763,2.226534477867617e-07,4.961168331841991e-10,0.999530909419807,2383
Ca14,0.4,1.0,simple,1.2498559854881015e-06,0.7541945924261734,2.943426758528218e-07,,0.9957756735036963,2381
Ca14,0.4,1.0,linear,1.2687943638590301e-06,0.6394192914252386,2.2398180389054998e-07,4.900551519681598e-10,0.9995050164502816,2381
Ca14,0.4,2.0,simple,1.372269206908764e-06,0.819045229170676,3.03208143174425e-07,,0.9953720295131043,2361
Ca14,0.4,2.0,linear,1.2877306958756928e-06,0.6612798456806686,2.3350331893053106e-07,4.486615184071297e-10,0.9992399749986209,2361
Ca14,0.4,3.0,simple,1.5218378810567142e-06,0.8777286720074436,3.0910412959076014e-07,,0.9954033082691639,2341
Ca14,0.4,3.0,linear,1.326852519321267e-06,0.6921671870737801,2.4452796008786113e-07,4.0265567821814716e-10,0.9990436010420001,2341
Ca14,0.4,4.0,simple,1.6934286553489334e-06,0.9317231788230043,3.1337148697481215e-07,,0.995516209165653,2321
Ca14,0.4,4.0,linear,1.3805165630755405e-06,0.7254595900968802,2.544593706813107e-07,3.61635749100129e-10,0.9988638897489601,2321
